MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
332;58;Centre social Intercommunal des Portes du Morvan;Quartier Henri Bachelin;;58145;58140;LORMES;47.29006;3.823199;centre.social.lormes@wanadoo.fr;03 86 22 85 47;Association;Centre social intercommunal des portes du Morvan;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
333;58;Luzy;12 Avenue Marceau;;58149;58170;LUZY;46.78737;3.96471;;;Association;Centre social et culturel de Luzy;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
334;58;Varzy;7 rue Nicolas Colbert;;58304;58210;VARZY;47.35658;3.385824;centresocial.58210@wanadoo.fr;;Association;Mairie de Donzy;8:30 - 12:00 / 13:30 - 17:00;8:30 : 12:00 / 13:30 - 18:00;08:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 17:00;-;;Espace labellisé
335;58;Donzy;1 place de la mairie;;58102;58220;DONZY;47.37306;3.125918;accueilmairie@mairie-donzy.fr;;Collectivité;Espace socioculturel du Val du Sauzay;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 17:00;-;;Espace labellisé
336;58;Montsauche;Place Marcel Mariller;;58180;58230;MONTSAUCHE LES SETTONS;47.21444;4.025107;relais.accueil-montsauche@orange.fr;03 86 84 52 52;Association;Centre social des grands lacs du Morvan;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
337;58;Saint Pierre le Moutier;35 Avenue du 8 Mai ;;58264;58240;ST PIERRE LE MOUTIER;46.7941;3.121975;msap.csstpierre@orange.fr;;Association;Centre social de St Pierre le Moutier;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 15:30;-;;Espace labellisé
338;58;Cercy la Tour;4 rue François Mitterrand;;58046;58340;CERCY LA TOUR;46.86156;3.645593;centre-social-fours@wanadoo.fr;03 86 50 89 16;Association;Centre social entre Loire et Morvan;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;-;;Espace labellisé
339;58;La Machine;3 Avenue de la Republique;;58151;58260;LA MACHINE;46.88872;3.464459;fonctionaccueil@csc-lamachine.fr;;Association;Centre social de La Machine;9:00 - 12:00 / 13:30 - 18:00;13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 18:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
340;58;Moulins Engilbert;2 Rue de la Mission;;58182;58290;MOULINS ENGILBERT;46.98806;3.809117;centre-social-moulins-engilbert@wanadoo.fr;03 86 84 30 96;Association;Centre social de Moulins Engilbert;8:00 - 12:30 / 13:30 - 17:30;8:00 - 12:30 / 13:30 - 17:30;8:00 - 12:30 / 13:30 - 17:30;8:00 - 12:30 / 13:30 - 17:30;8:00 - 12:30 / 13:30 - 17:30;-;;Espace labellisé
341;58;Saint Saulge;1 Place de la République;;58267;58330;ST SAULGE;47.10397;3.512185;;;Association;Centre socioculturel cœur du Nivernais;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
342;58;Brinon sur Beuvron;9 Rue Commandant Victor Guerreau;;58041;58420;BRINON SUR BEUVRON;47.28147;3.490676;centresocialbrinon@orange.fr;;Association;Centre social et culturel du Beuvron;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;8:30 - 12:00 / 14:00 - 17:30;-;;Espace labellisé
343;58;Fourchambault;Avenue Jean Jaurès;;58117;58600;FOURCHAMBAULT;;;franceservices.fourchambault@gmail.com;03 86 90 90 00;Association;Centre social de Fourchambault;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
344;58;Corbigny;3 Grande Rue;;58083;58800;CORBIGNY;47.25708;3.684002;sabrina.classiot@cctbc.fr;03 86 20 22 03;Collectivité;Communauté de Commune Tannay Brinon Corbigny;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
345;59;Bus itinérant de l’Avesnois;64 rue Léo Lagrange;;59036;59440;AVESNES SUR HELPE;;;avesnois.franceservices@lenord.fr;03 59 73 18 20;Collectivité;Département;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:30 - 12:30 / 13:30 - 16:00;9:00 - 13:00;-;Oui;Espace labellisé
346;59;Hondschoote;1 Rue de Cassel;;59309;59122;HONDSCHOOTE;50.97851;2.579816;hondschoote.franceservices@lenord.fr;03 59 73 41 80;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:00;-;;Espace labellisé
347;59;Pecquencourt;Rue de Castres;centre multimédia;59456;59146;PECQUENCOURT;50.36925;3.19578;;;Collectivité;;14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 / 14:00 - 18:00;10:00 - 12:00 ;10:00 - 12:00 / 14:00 - 18:00;-;;Espace labellisé
348;59;Anor;9 Rue Georges Clémenceau;;59012;59186;ANOR;49.99917;4.98503;;;La Poste;La Poste;9:30 - 12:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 ;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 ;;Espace labellisé
349;59;Raimbeaucourt ;Place Charles de Gaulle;CCAS Lesecq Carpentier;59489;59283;RAIMBEAUCOURT;50.44017;3.10937;franceservices@mairie-raimbeaucourt.fr;03 74 22 00 65;Collectivité;;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30;8:30 - 11:30 / 13:30 - 16:30;8:30 - 11:30;-;;Espace labellisé
350;59;Le Cateau-Cambrésis;13 Place du Commandant Richez;;59136;59360;LE CATEAU CAMBRESIS;50.10568;3.541175;lecateau.franceservices@lenord.fr;03 59 73 39 00;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
351;59;Bourbourg ;Avenue Francois Mitterrand;Espace Pierre de Coubertin ;59094;59630;BOURBOURG;50.94468;2.192959;andyvie.msap.bourbourg@orange.fr;03 28 22 55 87;Association;centre socio-éducatif;8:30 - 12:30;8:30 - 13:00;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:00;;Espace labellisé
352;59;Solesmes ;9 bis Rue Jules Guesde;« l’Etape »;59571;59730;SOLESMES;50.18257;3.492718;;;Collectivité;;13:00 - 17:00;8:30 - 12:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
353;59;Bruay-Sur-l'Escaut;6 rue de l’église;;59112;59860;BRUAY SUR L ESCAUT;50.40783;3.557985;bruay.franceservices@lenord.fr;03 59 73 27 00;Collectivité;;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
354;60;Saint-Just en Chaussée;60 Rue de Paris;;60581;60130;ST JUST EN CHAUSSEE;49.50475;2.434864;mfs-stjust@oise.fr;03 44 10 82 35;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
356;60;Grandvilliers;32 Rue Frédéric Petit;;60286;60210;GRANDVILLIERS;49.66616;1.937855;direction@csrgrandvillers.fr;03 44 46 75 41;Association;Centre Social Rural;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;;Espace labellisé
357;60;Crévecoeur le Grand;24 Avenue du Château;;60178;60360;CREVECOEUR LE GRAND;49.60792;2.80593;mfs-crevecoeur@oise.fr;03 44 10 82 30;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
358;60;Ressons-sur-Matz;91 Rue de Compiègne;;60533;60490;RESSONS SUR MATZ;49.53789;2.744749;mfs-ressons@oise.fr;03 44 10 82 43;Collectivité;Conseil Départemental;14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;9:30 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
359;60;Betz;1 Rue de la Fraternite;;60069;60620;BETZ;49.15986;2.95234;franceservices-evm@orange.fr;03 44 87 44 59;Association;Centre Social Rural;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
360;60;Le Coudray Saint-Germer;4 Rue des Ecoles;;60164;60850;LE COUDRAY ST GERMER;;;msap.lecoudraystgermer@gmail.com;03 44 81 83 00;Association;Centre Social Rural;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00;;Espace labellisé
361;61;Alençon-Perseigne - Site principal de Perseigne;28 Place de la Paix;MSAP Alençon-Perseigne - Quartier Perseigne;61001;61000;ALENCON;48.41522;0.94454;espace-france-services-perseigne@ville-alencon.fr;02 33 29 70 06;Collectivité;Ville d’Alençon;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
363;61;Coeur du Perche - Rémalard en Perche;23 rue de l’église;Mairie de Rémalard en Perche;61345;61110;REMALARD EN PERCHE;48.42919;0.774625;mairie@remalardenperche.fr;;Collectivité;Communauté de Communes Coeur du Perche;8:30 - 12:30 / 13:30 - 18:00;8:30 - 12:30 / Sur RDV : 16:00 - 18:00;8:30 - 12:30 / Sur RDV : 14:00 - 18:00;8:30 - 12:30 / Sur RDV : 15:00 - 18:00;8:30 - 12:30 / 13:30 - 18:00 ;10:00 - 12:00;;Espace labellisé
364;61;L’Aigle;Rue de la Merillière;;61214;61300;L AIGLE;48.76195;0.619649;accueilmsap@ville-laigle.fr;;Collectivité;Commune de L’Aigle;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
366;62;Maison de la Morinie;6 place de la morinie;;62811;62129;THEROUANNE;50.6383;2.256897;;;Collectivité;Communauté d’agglomération du pays de saint-omer;8:30 - 12:15 / 13:30 - 17:00;8:30 - 12:15 / 13:30 - 17:00;8:30 - 12:15 / 13:30 - 17:00;8:30 - 12:15 / 13:30 - 17:00;8:30 - 12:15 / 13:30 - 17:00;-;;Espace labellisé
367;62;Maison Intercommunale Pour Tous;38, rue des Potiers;;62268;62240;DESVRES;50.66755;1.837535;maisondesservices@cc-desvressamer.fr;03 21 99 26 00;Collectivité;Communauté de communes de Desvres-Samer;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;1 samedi sur 2 : 9:00 - 12:30;Oui;Espace labellisé
368;62;PIMMS de Lens;49 place du Général de Gaulle;;62498;62300;LENS;50.42661;2.829288;lens@pimms.org;03 21 28 78 17;PIMMS;Union Nationale des PIMMS;13:30 - 17:15;9:00 - 12:00 / 13:30 - 17:15;9:00 - 18:00;9:00 - 12:00 / 13:30 - 17:15;9:00 - 12:00 / 13:30 - 17:15;-;;Espace labellisé
369;62;Pays d'opale;9 Avenue de la Libération;;62397;62340;GUINES;50.86622;1.86873;msap@cc-paysdopale.fr;03 21 00 83 33;Collectivité;Communauté de communes du Pays d’Opale;8:00 - 12:30 / 13:30 - 17:00;8:00 - 12:30 / 13:30 - 17:00;8:00 - 12:30 / 13:30 - 17:00;8:00 - 12:30 / 13:30 - 17:00;8:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
370;62;Lumbres;1 chemin du Pressart;;62534;62380;LUMBRES;50.70593;2.1189;;;Collectivité;Communauté de communes du Pays de Lumbres;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
371;62;Maison Service public +;Rue de Schwerte;Centre administratif;62119;62400;BETHUNE;;;franceservices@ville-bethune.fr;03 21 54 97 16;Collectivité;Ville de Béthune;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 19:30;9:00 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
372;62;PIMMS mobile Services Intinérants entre Béthune et Aire-sur-la-Lys;100 avenue de Londres;;62119;62411;BETHUNE;50.51631;2.626759;lens@pimms.org;03 21 28 78 17;PIMMS;Union Nationale des PIMMS;9:00 - 16:30 selon planning permanences;9:00 - 16:30 selon planning permanences;9:00 - 16:30 selon planning permanences;9:00 - 16:30 selon planning permanences;9:00 - 16:30 selon planning permanences;-;Oui;Espace labellisé
374;62;PIMMS de Bruay-la-buissière;440 rue Honorat et Christian Bouilliez;;62178;62700;BRUAY;50.48512;2.547041;artois@pimms.org;03 21 52 99 78;PIMMS;Union Nationale des PIMMS;13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 12:00 / 13:00 - 16:30;8:30 - 16:30;8:30 - 12:00 / 13:00 - 16:30;-;;Espace labellisé
375;62;PIMMS de Libercourt;Place de la gare;;62907;62820;LIBERCOURT;50.47364;3.000173;libercourt@pimms.org;03 91 83 18 65;PIMMS;Union Nationale des PIMMS;13:45 - 18:30;9:00 - 12:00 / 13:45 - 18:30;9:00 - 12:00 / 13:45 - 17:30;10:00 - 18:30;9:00 - 12:00 / 13:45 - 17:30;-;Oui;Espace labellisé
377;63;Pontgibaud;Rue du Frère Genestier;;63285;63230;PONTGIBAUD;;;franceservices.pontgibaud@ccvcommunaute.fr;04 73 88 75 58;Collectivité;CC Chavanon Combrailles et Volcans;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
378;63;Mont Dore relais Sancy;1 rue Côte Boissy;;63236;63240;LE MONT DORE;;;contact@lerelais-sancy.org;04 64 77 91 30;Collectivité;CC du Massif du Sancy;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30;8:30 - 12:30 / 13:30 - 17:30;8:30 - 12:30;-;;Espace labellisé
379;63;Pontaumur;6 avenue du Marronnier;;63283;63380;PONTAUMUR;;;franceservices.pontaumur@ccvcommunaute.fr;04 73 79 70 70;Collectivité;CC Chavanon Combrailles et Volcans;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
380;63;Saint Gervais;Rue Fontaine de la Ville;;63354;63390;ST GERVAIS D AUVERGNE;46.02938;2.820765;ville.st.gervais.auvergne@wanadoo.fr ;04 73 85 30 92;Collectivité;mairie de St Gervais d’Auvergne;9:00 - 12:30 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;13:30 - 17:00;9:00 - 12:30;-;Oui;Espace labellisé
381;63;Viverols;3 place de l’église;;63465;63840;VIVEROLS;;;msap.viverols@ambertlivradoisforez.fr;04 73 95 36 40;Collectivité;CC Ambert Livradois Forez;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;-;;Espace labellisé
382;63;Giat;1 place du champs de foire;Bâtiment de la Mairie;63165;63620;GIAT;45.80823;2.469049;franceservices.giat@ccvcommunaute.fr;04 73 21 71 67;Collectivité;CC Chavanon Combrailles et Volcans;9:00 - 12:00 ;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 ;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
383;63;Bourg Lastic;4 route de Tulle;;63048;63760;BOURG LASTIC;45.64803;2.557594;franceservices.bourglastic@ccvcommunaute.fr;04 73 21 88 68;Collectivité;CC Chavanon Combrailles et Volcans;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 16:30;-;;Espace labellisé
385;64;Mauléon-Licharre;15 Avenue Maréchal Foch;;64102;64100;BAYONNE;43.49386;-1.48235;;;Collectivité;CAPB;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
386;64;Mourenx;2 Place du Béarn;"Centre Social ""Lo Solan""";64410;64150;MOURENX;43.37136;-0.62937;accueil@lo-solan.org;05 59 60 03 98;Association;Association loi 1901;14:00 - 18:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
387;65;Tarbes Laubadère;10 Avenue Antoine de Saint-exupéry;;65440;65000;TARBES;43.2432;0.063311;france-services.tarbes-laubadere@laposte.fr;05 62 36 27 89;La Poste;La Poste;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;-;;Espace labellisé
389;65;Rabastens en Bigorre;16 place centrale;;65375;65140;RABASTENS DE BIGORRE;43.38747;0.15968;msap-rabastens@adour-madiran.fr;05 62 96 54 51;Collectivité;CC Adour Madiran;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 ;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;-;;Espace labellisé
390;65;Saint-Lary-Soulan;36 rue Vincent Mir;Galerie Commerciale;65388;65170;ST LARY SOULAN;42.81608;0.32982;gipe65@perenne.org;05 62 40 08 14;Association;Guichet Initiative Pluriactivité Emploi (GIPE);9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
392;65;Haute Bigorre;30 avenue Géruzet;;65059;65200;BAGNERES DE BIGORRE;43.06833;0.151224;france-services@haute-bigorre.fr;05 62 90 42 02;Collectivité;CC de la Haute-Bigorre;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
393;65;Coteaux;31 Place de la Mairie;;65452;65220;TRIE SUR BAISE;43.32049;0.37906;pointpublic.coteaux@orange.fr;;Collectivité;PETR des coteaux;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
395;65;Pierrefitte-Nestalas;Place Jean Jaurès;;65362;65260;PIERREFITTE NESTALAS;42.9696;-0.07415;;05 62 92 24 62;La Poste;La Poste;9:30 - 12:00 / 13:30 - 16:45;9:30 - 12:00 / 13:30 - 16:45;9:30 - 12:00 / 13:30 - 16:45;9:30 - 12:00 / 13:30 - 16:45;9:30 - 12:00 / 13:30 - 16:45;9:00 - 12:00;;Espace labellisé
397;65;Sarp;15 croix des Huguenots;Centre Village ;65407;65370;SARP;43.01773;0.591438;communaute-de-communes@neste-barousse.fr;05 62 99 20 42;;CC Neste Barousse;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
398;65;Vic-en-Bigorre;2 avenue Jacques Fourcade;;65460;65500;VIC EN BIGORRE;43.38676;0.054881;msap@adour-madiran.fr;06 08 86 42 99;Collectivité;CC Adour Madiran;14:00 - 18:00;8:30 - 12:30 / 14:00 - 18:00;8:30 - 12:30;8:30 - 12:30 / 14:00 - 18:00;8:30 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
399;65;Maubourguet;179 Place de la Libération;Centre culturel Jean Glavany;65304;65700;MAUBOURGUET;43.46935;0.034708;cyberbase@adour-madiran.fr;05 62 96 07 93;Collectivité;CC Adour Madiran;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 16:00 - 18:00; 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;-;;Espace labellisé
400;66;Ille sur têt;3 rue de bourdeville;;66088;66130;ILLE SUR TET;42.66962;2.623884;france.services@roussillon-conflent.fr;04 68 38 96 55;Collectivité;communauté de communes Roussillon Conflent;9:00 - 13:00 / 13:30 - 17:00;9:00 - 13:00 / 13:30 - 16:00;9:00 - 12:00;9:00 - 13:00 / 13:30 - 17:00;9:00 - 13:00 / 13:30 - 17:00;-;;Espace labellisé
401;66;Arles sur Tech;32 Rue du Barri d'Amont;;66009;66150;ARLES SUR TECH;42.45517;2.632069;;;Collectivité;communauté de communes du Haut Vallespir;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
402;66;Banyuls sur mer;Place Dina Vierny;;66016;66650;BANYULS SUR MER;42.48353;3.129673;ccas.banyuls@banyuls-sur-mer.com;;Collectivité;commune de Banyuls sur mer;9:00 - 12:00 / 13:00 - 16:00;9:00 - 12:00 / 13:00 - 16:00;9:00 - 12:00 / 13:00 - 16:00;9:00 - 12:00 / 13:00 - 16:00;9:00 - 12:00;-;;Espace labellisé
403;66;Tautavel;Place de la République;;66205;66720;TAUTAVEL;42.81419;2.745516;msap.tautavel@orange.fr;04 68 07 23 05;Collectivité;Commune de Tautavel;10:00 - 12:00 / 15:00 - 19:00;10:00 - 12:00 / 15:00 - 18:00;10:00 - 12:00;10:00 - 12:00 / 15:00 - 18:00;10:00 - 12:00 / 15:00 - 19:00;-;;Espace labellisé
404;67;Strasbourg Lizé;3 Rue de Hautefort;;67482;67100;STRASBOURG;48.5492;7.768703;msap.strasbourg-lize@laposte.fr;03 90 40 42 88;La Poste;La Poste;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;9:00 - 12:00;;Espace labellisé
405;67;Schirmeck;114 Grand'Rue;;67448;67130;SCHIRMECK;48.47834;7.218349;;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;;Espace labellisé
406;67;Villé;2 a Rue du Haut Koenigsbourg;;67507;67220;VILLE;48.34207;7.307902;msap.ville@laposte.fr;03 88 58 93 43;La Poste;La Poste;9:00 - 12:05 / 14:00 - 17:00;9:00 - 12:05 / 14:00 - 17:00;9:00 - 12:05 / 14:00 - 17:00;9:00 - 12:05 / 14:00 - 17:00;9:00 - 12:05 / 14:00 - 17:00;9:00 - 12:05;;Espace labellisé
407;67;Wasselonne;33 Rue des Pins;;67520;67310;WASSELONNE;48.6444;7.449727;franceservices@mossigvignoble.fr;03 88 64 74 46;;;9:00 - 12:00 / 13:00 - 17:00;10:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 16:00;Horaires non communiqués;;Espace labellisé
408;67;Sarre-Union;14 Rue Vincent d'Indy;;67434;67260;SARRE UNION;48.93303;7.94915;accueil@ccab.eu;03 88 01 67 07;;;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00 / 13:00 - 16:00;-;;Espace labellisé
